Datetime,Open,High,Low,Close,Volume,date,time
2025-05-26 10:45:00+05:30,279.8699951171875,279.95001220703125,279.5199890136719,279.7200012207031,145350.0,2025-05-26,10:45:00
2025-05-26 11:00:00+05:30,279.7300109863281,279.8900146484375,279.6499938964844,279.82000732421875,75547.0,2025-05-26,11:00:00
2025-05-26 11:15:00+05:30,279.7699890136719,280.29998779296875,279.6000061035156,279.7300109863281,175398.0,2025-05-26,11:15:00
2025-05-26 11:30:00+05:30,279.7300109863281,279.80999755859375,279.5199890136719,279.80999755859375,70100.0,2025-05-26,11:30:00
2025-05-26 11:45:00+05:30,280.010009765625,280.1700134277344,279.6700134277344,279.739990234375,206288.0,2025-05-26,11:45:00
2025-05-26 12:00:00+05:30,279.9599914550781,280.17999267578125,279.79998779296875,280.0,189190.0,2025-05-26,12:00:00
2025-05-26 12:15:00+05:30,280.0299987792969,280.1300048828125,279.7300109863281,279.95001220703125,97558.0,2025-05-26,12:15:00
2025-05-26 12:30:00+05:30,279.7300109863281,280.1600036621094,279.70001220703125,280.1600036621094,186305.0,2025-05-26,12:30:00
2025-05-26 12:45:00+05:30,279.6099853515625,279.80999755859375,279.45001220703125,279.75,272306.0,2025-05-26,12:45:00
2025-05-26 13:00:00+05:30,279.7200012207031,279.8999938964844,279.6300048828125,279.70001220703125,52216.0,2025-05-26,13:00:00
2025-05-26 13:15:00+05:30,279.69000244140625,279.7900085449219,279.6099853515625,279.7200012207031,293659.0,2025-05-26,13:15:00
2025-05-26 13:30:00+05:30,279.8999938964844,279.989990234375,279.6300048828125,279.6400146484375,93978.0,2025-05-26,13:30:00
2025-05-26 13:45:00+05:30,279.8800048828125,280.0899963378906,279.8500061035156,279.8900146484375,126153.0,2025-05-26,13:45:00
2025-05-26 14:00:00+05:30,279.95001220703125,279.989990234375,279.7099914550781,279.92999267578125,72274.0,2025-05-26,14:00:00
2025-05-26 14:15:00+05:30,279.6600036621094,279.94000244140625,279.6099853515625,279.9100036621094,983095.0,2025-05-26,14:15:00
2025-05-26 14:30:00+05:30,279.7900085449219,279.95001220703125,279.6099853515625,279.70001220703125,849953.0,2025-05-26,14:30:00
2025-05-26 14:45:00+05:30,279.989990234375,280.0,279.70001220703125,279.7900085449219,622797.0,2025-05-26,14:45:00
2025-05-26 15:00:00+05:30,280.0,280.0199890136719,279.79998779296875,280.0,342528.0,2025-05-26,15:00:00
2025-05-26 15:15:00+05:30,279.70001220703125,280.0,279.70001220703125,279.8999938964844,449082.0,2025-05-26,15:15:00
2025-05-27 09:30:00+05:30,278.1000061035156,278.2900085449219,277.4100036621094,277.55999755859375,519966.0,2025-05-27,09:30:00
2025-05-27 09:45:00+05:30,277.4100036621094,278.1099853515625,277.25,278.1099853515625,413813.0,2025-05-27,09:45:00
2025-05-27 10:00:00+05:30,277.6300048828125,277.69000244140625,277.1600036621094,277.3999938964844,356527.0,2025-05-27,10:00:00
2025-05-27 10:15:00+05:30,277.4700012207031,277.6400146484375,277.30999755859375,277.6400146484375,499499.0,2025-05-27,10:15:00
2025-05-27 10:30:00+05:30,277.489990234375,277.82000732421875,277.3500061035156,277.3599853515625,206423.0,2025-05-27,10:30:00
2025-05-27 10:45:00+05:30,277.7300109863281,277.79998779296875,277.3500061035156,277.4800109863281,103136.0,2025-05-27,10:45:00
2025-05-27 11:00:00+05:30,278.70001220703125,279.3800048828125,277.6499938964844,277.6499938964844,638696.0,2025-05-27,11:00:00
2025-05-27 11:15:00+05:30,280.239990234375,280.239990234375,278.739990234375,278.7900085449219,647270.0,2025-05-27,11:15:00
2025-05-27 11:30:00+05:30,279.69000244140625,280.6099853515625,279.2699890136719,280.25,483096.0,2025-05-27,11:30:00
2025-05-27 11:45:00+05:30,279.4599914550781,279.75,279.0899963378906,279.67999267578125,788207.0,2025-05-27,11:45:00
2025-05-27 12:00:00+05:30,279.4700012207031,279.69000244140625,279.1499938964844,279.3500061035156,279527.0,2025-05-27,12:00:00
2025-05-27 12:15:00+05:30,278.5899963378906,279.5,278.30999755859375,279.5,498823.0,2025-05-27,12:15:00
2025-05-27 12:30:00+05:30,278.6000061035156,278.8299865722656,278.1700134277344,278.5899963378906,278653.0,2025-05-27,12:30:00
2025-05-27 12:45:00+05:30,278.3800048828125,278.8800048828125,278.25,278.6000061035156,155969.0,2025-05-27,12:45:00
2025-05-27 13:00:00+05:30,278.3299865722656,278.489990234375,278.1300048828125,278.29998779296875,379170.0,2025-05-27,13:00:00
2025-05-27 13:15:00+05:30,278.29998779296875,278.5400085449219,278.1499938964844,278.3999938964844,189739.0,2025-05-27,13:15:00
2025-05-27 13:30:00+05:30,278.44000244140625,278.5,278.2099914550781,278.29998779296875,94203.0,2025-05-27,13:30:00
2025-05-27 13:45:00+05:30,277.6700134277344,278.7200012207031,277.6700134277344,278.44000244140625,313041.0,2025-05-27,13:45:00
2025-05-27 14:00:00+05:30,277.6499938964844,277.9100036621094,277.489990234375,277.7300109863281,362560.0,2025-05-27,14:00:00
2025-05-27 14:15:00+05:30,277.3999938964844,277.79998779296875,276.92999267578125,277.6499938964844,932430.0,2025-05-27,14:15:00
2025-05-27 14:30:00+05:30,277.9200134277344,277.92999267578125,277.25,277.29998779296875,244749.0,2025-05-27,14:30:00
2025-05-27 14:45:00+05:30,278.1099853515625,278.1099853515625,277.7900085449219,277.9800109863281,281733.0,2025-05-27,14:45:00
2025-05-27 15:00:00+05:30,278.29998779296875,278.3500061035156,278.1300048828125,278.1600036621094,284325.0,2025-05-27,15:00:00
2025-05-27 15:15:00+05:30,278.29998779296875,278.3299865722656,278.20001220703125,278.2300109863281,321085.0,2025-05-27,15:15:00
2025-05-28 09:15:00+05:30,277.82000732421875,278.6700134277344,277.5799865722656,278.3500061035156,303360.0,2025-05-28,09:15:00
